NRIC,PLATE,MOD8,MOD7,,,,table slot,mod 7,mod 8,,,,
93843,123540,3,1,,,,,,,,,,
27989,123541,5,3,,,,,,,,,,
36950,123542,6,4,,,,,,,,,,
76403,123543,3,5,,,,,,,,,,
73128,123544,0,6,,,,,,,,,,
53796,123545,4,1,,,,,,,,,,
47235,123546,3,6,,,,,,,,,,
66675,123547,3,0,,,,,,,,,,
98724,123548,4,3,,,,,,,,,,
40536,123549,0,6,,,,,,,,,,
86892,123550,4,1,,,,,,,,,,
97185,123551,1,4,,,,,,,,,,
74313,123552,1,1,,,,,,,,,,
69910,123553,6,1,,,,,,,,,,
83265,123554,1,0,,,,,,,,,,
28625,123555,1,2,,,,,,,,,,
81031,123556,7,6,,,,,,,,,,
28612,123557,4,3,,,,,,,,,,
81469,123558,5,3,,,,,,,,,,
58492,123559,4,0,,,,,,,,,,
56550,123560,6,4,,,,,,,,,,
81555,123561,3,5,,,,,,,,,,
27128,123562,0,3,,,,,,,,,,
97216,123563,0,0,,,,,,,,,,
58894,123564,6,3,,,,,,,,,,
12694,123565,6,3,,,,,,,,,,
82364,123566,4,2,,,,,,,,,,
43348,123567,4,4,,,,,,,,,,
89244,123568,4,1,,,,,,,,,,
81507,123569,3,6,,,,,,,,,,
36097,123570,1,5,,,,,,,,,,
91780,123571,4,3,,,,,,,,,,
93528,123572,0,1,,,,,,,,,,
89147,123573,3,2,,,,,,,,,,
92532,123574,4,6,,,,,,,,,,
54593,123575,1,0,,,,,,,,,,
37907,123576,3,2,,,,,,,,,,
36208,123577,0,4,,,,,,,,,,
46483,123578,3,3,,,,,,,,,,
77480,123579,0,4,,,,,,,,,,
62131,123580,3,6,,,,,,,,,,
66920,123581,0,0,,,,,,,,,,
54800,123582,0,4,,,,,,,,,,
62432,123583,0,6,,,,,,,,,,
95117,123584,5,1,,,,,,,,,,
51692,123585,4,4,,,,,,,,,,
90420,123586,4,1,,,,,,,,,,
69844,123587,4,5,,,,,,,,,,
77779,123588,3,2,,,,,,,,,,
41587,123589,3,0,,,,,,,,,,
58947,123590,3,0,,,,,,,,,,
11789,123591,5,1,,,,,,,,,,
57521,123592,1,2,,,,,,,,,,
31535,123593,7,0,,,,,,,,,,
25438,123594,6,0,,,,,,,,,,
71435,123595,3,0,,,,,,,,,,
26332,123596,4,5,,,,,,,,,,
62845,123597,5,6,,,,,,,,,,
54238,123598,6,2,,,,,,,,,,
61055,123599,7,1,,,,,,,,,,
49760,123600,0,4,,,,,,,,,,
48719,123601,7,6,,,,,,,,,,
14814,123602,6,2,,,,,,,,,,
64376,123603,0,4,,,,,,,,,,
93839,123604,7,4,,,,,,,,,,
52984,123605,0,1,,,,,,,,,,
29267,123606,3,0,,,,,,,,,,
49484,123607,4,1,,,,,,,,,,
70589,123608,5,1,,,,,,,,,,
82758,123609,6,4,,,,,,,,,,
22078,123610,6,0,,,,,,,,,,
76288,123611,0,2,,,,,,,,,,
27021,123612,5,1,,,,,,,,,,
91120,123613,0,1,,,,,,,,,,
51948,123614,4,1,,,,,,,,,,
46346,123615,2,6,,,,,,,,,,
97330,123616,2,2,,,,,,,,,,
55163,123617,3,3,,,,,,,,,,
11449,123618,1,4,,,,,,,,,,
78377,123619,1,5,,,,,,,,,,
28546,123620,2,0,,,,,,,,,,
52075,123621,3,2,,,,,,,,,,
72462,123622,6,5,,,,,,,,,,
89958,123623,6,1,,,,,,,,,,
71805,123624,5,6,,,,,,,,,,
93896,123625,0,5,,,,,,,,,,
53904,123626,0,4,,,,,,,,,,
66830,123627,6,1,,,,,,,,,,
56692,123628,4,6,,,,,,,,,,
47165,123629,5,6,,,,,,,,,,
90357,123630,5,1,,,,,,,,,,
57897,123631,1,0,,,,,,,,,,
16906,123632,2,1,,,,,,,,,,
67877,123633,5,5,,,,,,,,,,
41956,123634,4,5,,,,,,,,,,
44131,123635,3,3,,,,,,,,,,
34155,123636,3,2,,,,,,,,,,
24420,123637,4,4,,,,,,,,,,
17068,123638,4,2,,,,,,,,,,
50348,123639,4,4,,,,,,,,,,
19048,123640,0,1,,,,,,,,,,
79308,123641,4,5,,,,,,,,,,
30999,123642,7,3,,,,,,,,,,
79715,123643,3,6,,,,,,,,,,
16011,123644,3,2,,,,,,,,,,
18169,123645,1,4,,,,,,,,,,
16104,123646,0,4,,,,,,,,,,
25032,123647,0,0,,,,,,,,,,
38336,123648,0,4,,,,,,,,,,
26168,123649,0,2,,,,,,,,,,
94420,123650,4,4,,,,,,,,,,
34290,123651,2,4,,,,,,,,,,
53590,123652,6,5,,,,,,,,,,
35811,123653,3,6,,,,,,,,,,
99630,123654,6,6,,,,,,,,,,
37039,123655,7,2,,,,,,,,,,
49493,123656,5,3,,,,,,,,,,
66798,123657,6,4,,,,,,,,,,
64555,123658,3,1,,,,,,,,,,
93541,123659,5,0,,,,,,,,,,
47317,123660,5,4,,,,,,,,,,
66895,123661,7,3,,,,,,,,,,
12994,123662,2,2,,,,,,,,,,
38590,123663,6,6,,,,,,,,,,
94492,123664,4,6,,,,,,,,,,
55939,123665,3,2,,,,,,,,,,
41341,123666,5,6,,,,,,,,,,
33740,123667,4,0,,,,,,,,,,
82838,123668,6,0,,,,,,,,,,
39928,123669,0,0,,,,,,,,,,
36929,123670,1,4,,,,,,,,,,
30163,123671,3,0,,,,,,,,,,
96126,123672,6,2,,,,,,,,,,
68249,123673,1,6,,,,,,,,,,
90159,123674,7,6,,,,,,,,,,
59717,123675,5,0,,,,,,,,,,
90788,123676,4,5,,,,,,,,,,
92501,123677,5,3,,,,,,,,,,
55661,123678,5,4,,,,,,,,,,
11594,123679,2,2,,,,,,,,,,
49373,123680,5,2,,,,,,,,,,
46280,123681,0,3,,,,,,,,,,
82920,123682,0,5,,,,,,,,,,
46100,123683,4,5,,,,,,,,,,
55969,123684,1,4,,,,,,,,,,
57314,123685,2,5,,,,,,,,,,
98669,123686,5,4,,,,,,,,,,
75978,123687,2,0,,,,,,,,,,
44218,123688,2,6,,,,,,,,,,
92903,123689,7,6,,,,,,,,,,
62442,123690,2,2,,,,,,,,,,
50757,123691,5,0,,,,,,,,,,
36470,123692,6,0,,,,,,,,,,
13984,123693,0,5,,,,,,,,,,
66181,123694,5,3,,,,,,,,,,
76319,123695,7,5,,,,,,,,,,
77722,123696,2,1,,,,,,,,,,
96221,123697,5,6,,,,,,,,,,
11676,123698,4,0,,,,,,,,,,
26445,123699,5,6,,,,,,,,,,
95911,123700,7,4,,,,,,,,,,
58206,123701,6,1,,,,,,,,,,
42760,123702,0,4,,,,,,,,,,
96480,123703,0,6,,,,,,,,,,
91152,123704,0,5,,,,,,,,,,
96395,123705,3,5,,,,,,,,,,
61440,123706,0,1,,,,,,,,,,
58609,123707,1,5,,,,,,,,,,
48878,123708,6,4,,,,,,,,,,
32802,123709,2,0,,,,,,,,,,
10860,123710,4,3,,,,,,,,,,
25241,123711,1,6,,,,,,,,,,
59265,123712,1,3,,,,,,,,,,
57613,123713,5,3,,,,,,,,,,
81689,123714,1,6,,,,,,,,,,
80797,123715,5,3,,,,,,,,,,
82344,123716,0,3,,,,,,,,,,
83140,123717,4,1,,,,,,,,,,
36672,123718,0,6,,,,,,,,,,
77760,123719,0,4,,,,,,,,,,
31721,123720,1,4,,,,,,,,,,
87592,123721,0,1,,,,,,,,,,
37359,123722,7,0,,,,,,,,,,
15507,123723,3,2,,,,,,,,,,
86348,123724,4,3,,,,,,,,,,
96218,123725,2,3,,,,,,,,,,
29655,123726,7,3,,,,,,,,,,
23915,123727,3,3,,,,,,,,,,
66261,123728,5,6,,,,,,,,,,
71327,123729,7,4,,,,,,,,,,
90009,123730,1,3,,,,,,,,,,
69340,123731,4,5,,,,,,,,,,
59850,123732,2,0,,,,,,,,,,
27956,123733,4,5,,,,,,,,,,
24599,123734,7,1,,,,,,,,,,
51103,123735,7,3,,,,,,,,,,
72606,123736,6,2,,,,,,,,,,
88714,123737,2,3,,,,,,,,,,
71293,123738,5,5,,,,,,,,,,
23201,123739,1,3,,,,,,,,,,
29975,123740,7,1,,,,,,,,,,
32799,123741,7,4,,,,,,,,,,
79235,123742,3,2,,,,,,,,,,
84312,123743,0,4,,,,,,,,,,
74725,123744,5,0,,,,,,,,,,
62314,123745,2,0,,,,,,,,,,
85527,123746,7,1,,,,,,,,,,
76659,123747,3,2,,,,,,,,,,
68473,123748,1,6,,,,,,,,,,
24124,123749,4,2,,,,,,,,,,
86130,123750,2,2,,,,,,,,,,
25525,123751,5,3,,,,,,,,,,
46628,123752,4,1,,,,,,,,,,
84285,123753,5,5,,,,,,,,,,
52244,123754,4,3,,,,,,,,,,
29789,123755,5,4,,,,,,,,,,
59668,123756,4,0,,,,,,,,,,
81340,123757,4,0,,,,,,,,,,
63048,123758,0,6,,,,,,,,,,
60206,123759,6,6,,,,,,,,,,
57878,123760,6,2,,,,,,,,,,
55385,123761,1,1,,,,,,,,,,
14445,123762,5,4,,,,,,,,,,
14854,123763,6,0,,,,,,,,,,
27133,123764,5,1,,,,,,,,,,
81735,123765,7,3,,,,,,,,,,
31221,123766,5,1,,,,,,,,,,
89454,123767,6,1,,,,,,,,,,
35534,123768,6,2,,,,,,,,,,
81557,123769,5,0,,,,,,,,,,
92827,123770,3,0,,,,,,,,,,
35540,123771,4,1,,,,,,,,,,
89850,123772,2,5,,,,,,,,,,
33643,123773,3,1,,,,,,,,,,
16350,123774,6,5,,,,,,,,,,
11624,123775,0,4,,,,,,,,,,
29645,123776,5,0,,,,,,,,,,
11644,123777,4,3,,,,,,,,,,
65672,123778,0,5,,,,,,,,,,
25275,123779,3,5,,,,,,,,,,
74650,123780,2,2,,,,,,,,,,
71729,123781,1,0,,,,,,,,,,
87001,123782,1,5,,,,,,,,,,
78078,123783,6,0,,,,,,,,,,
20433,123784,1,0,,,,,,,,,,
83716,123785,4,3,,,,,,,,,,
53872,123786,0,0,,,,,,,,,,
69085,123787,5,2,,,,,,,,,,
11156,123788,4,5,,,,,,,,,,
65137,123789,1,2,,,,,,,,,,
77190,123790,6,1,,,,,,,,,,
23947,123791,3,0,,,,,,,,,,
87167,123792,7,3,,,,,,,,,,
85179,123793,3,3,,,,,,,,,,
61990,123794,6,5,,,,,,,,,,
95351,123795,7,4,,,,,,,,,,
51632,123796,0,0,,,,,,,,,,
29198,123797,6,1,,,,,,,,,,
31671,123798,7,3,,,,,,,,,,
36315,123799,3,6,,,,,,,,,,
30063,123800,7,5,,,,,,,,,,
30878,123801,6,1,,,,,,,,,,
33857,123802,1,5,,,,,,,,,,
65777,123803,1,5,,,,,,,,,,
35907,123804,3,4,,,,,,,,,,
82133,123805,5,2,,,,,,,,,,
37207,123806,7,2,,,,,,,,,,
56083,123807,3,6,,,,,,,,,,
34026,123808,2,6,,,,,,,,,,
34609,123809,1,1,,,,,,,,,,
36425,123810,1,4,,,,,,,,,,
37502,123811,6,3,,,,,,,,,,
42650,123812,2,6,,,,,,,,,,
40901,123813,5,0,,,,,,,,,,
80488,123814,0,2,,,,,,,,,,
39102,123815,6,0,,,,,,,,,,
65127,123816,7,6,,,,,,,,,,
30129,123817,1,1,,,,,,,,,,
99991,123818,7,3,,,,,,,,,,
52777,123819,1,4,,,,,,,,,,
62410,123820,2,5,,,,,,,,,,
59791,123821,7,4,,,,,,,,,,
60788,123822,4,0,,,,,,,,,,
52253,123823,5,5,,,,,,,,,,
76739,123824,3,5,,,,,,,,,,
17649,123825,1,2,,,,,,,,,,
38903,123826,7,4,,,,,,,,,,
37093,123827,5,0,,,,,,,,,,
26328,123828,0,1,,,,,,,,,,
16452,123829,4,2,,,,,,,,,,
52136,123830,0,0,,,,,,,,,,
78278,123831,6,4,,,,,,,,,,
47127,123832,7,3,,,,,,,,,,
40314,123833,2,1,,,,,,,,,,
40272,123834,0,1,,,,,,,,,,
39617,123835,1,4,,,,,,,,,,
55809,123836,1,5,,,,,,,,,,
81837,123837,5,0,,,,,,,,,,
41903,123838,7,1,,,,,,,,,,
49164,123839,4,3,,,,,,,,,,
68647,123840,7,5,,,,,,,,,,
36326,123841,6,3,,,,,,,,,,
20475,123842,3,0,,,,,,,,,,
80115,123843,3,0,,,,,,,,,,
88456,123844,0,4,,,,,,,,,,
33529,123845,1,6,,,,,,,,,,
94781,123846,5,1,,,,,,,,,,
47441,123847,1,2,,,,,,,,,,
56969,123848,1,3,,,,,,,,,,
16180,123849,4,3,,,,,,,,,,
80704,123850,0,1,,,,,,,,,,
25100,123851,4,5,,,,,,,,,,
34969,123852,1,4,,,,,,,,,,
94351,123853,7,5,,,,,,,,,,
65241,123854,1,1,,,,,,,,,,
32284,123855,4,0,,,,,,,,,,
95255,123856,7,6,,,,,,,,,,
48289,123857,1,3,,,,,,,,,,
12501,123858,5,6,,,,,,,,,,
92893,123859,5,3,,,,,,,,,,
81653,123860,5,5,,,,,,,,,,
60073,123861,1,6,,,,,,,,,,
66377,123862,1,3,,,,,,,,,,
80367,123863,7,0,,,,,,,,,,
82947,123864,3,4,,,,,,,,,,
75703,123865,7,5,,,,,,,,,,
22446,123866,6,4,,,,,,,,,,
72587,123867,3,4,,,,,,,,,,
47036,123868,4,3,,,,,,,,,,
53360,123869,0,6,,,,,,,,,,
71915,123870,3,4,,,,,,,,,,
26901,123871,5,0,,,,,,,,,,
35422,123872,6,2,,,,,,,,,,
23695,123873,7,0,,,,,,,,,,
89508,123874,4,6,,,,,,,,,,
70672,123875,0,0,,,,,,,,,,
16160,123876,0,4,,,,,,,,,,
84765,123877,5,2,,,,,,,,,,
99059,123878,3,2,,,,,,,,,,
66462,123879,6,4,,,,,,,,,,
56009,123880,1,2,,,,,,,,,,
13701,123881,5,2,,,,,,,,,,
70365,123882,5,1,,,,,,,,,,
67011,123883,3,0,,,,,,,,,,
31765,123884,5,6,,,,,,,,,,
89030,123885,6,4,,,,,,,,,,
53875,123886,3,3,,,,,,,,,,
16965,123887,5,4,,,,,,,,,,
38658,123888,2,4,,,,,,,,,,
61988,123889,4,3,,,,,,,,,,
23814,123890,6,0,,,,,,,,,,
58309,123891,5,6,,,,,,,,,,
44626,123892,2,1,,,,,,,,,,
88222,123893,6,1,,,,,,,,,,
53613,123894,5,0,,,,,,,,,,
45748,123895,4,3,,,,,,,,,,
80771,123896,3,5,,,,,,,,,,
71357,123897,5,6,,,,,,,,,,
92134,123898,6,0,,,,,,,,,,
75929,123899,1,0,,,,,,,,,,
76093,123900,5,3,,,,,,,,,,
56098,123901,2,0,,,,,,,,,,
91246,123902,6,1,,,,,,,,,,
49561,123903,1,1,,,,,,,,,,
54366,123904,6,4,,,,,,,,,,
15946,123905,2,0,,,,,,,,,,
46037,123906,5,5,,,,,,,,,,
77745,123907,1,3,,,,,,,,,,
70690,123908,2,4,,,,,,,,,,
31999,123909,7,2,,,,,,,,,,
25689,123910,1,6,,,,,,,,,,
46261,123911,5,5,,,,,,,,,,
56639,123912,7,2,,,,,,,,,,
99915,123913,3,4,,,,,,,,,,
85532,123914,4,6,,,,,,,,,,
96903,123915,7,2,,,,,,,,,,
52045,123916,5,0,,,,,,,,,,
56976,123917,0,3,,,,,,,,,,
40828,123918,4,4,,,,,,,,,,
83305,123919,1,5,,,,,,,,,,
21407,123920,7,1,,,,,,,,,,
68424,123921,0,6,,,,,,,,,,
56101,123922,5,3,,,,,,,,,,
65962,123923,2,1,,,,,,,,,,
57251,123924,3,5,,,,,,,,,,
33637,123925,5,2,,,,,,,,,,
52551,123926,7,2,,,,,,,,,,
78687,123927,7,0,,,,,,,,,,
58106,123928,2,6,,,,,,,,,,
95251,123929,3,2,,,,,,,,,,
72206,123930,6,1,,,,,,,,,,
65932,123931,4,6,,,,,,,,,,
87299,123932,3,2,,,,,,,,,,
57937,123933,1,5,,,,,,,,,,
23768,123934,0,3,,,,,,,,,,
41558,123935,6,6,,,,,,,,,,
23222,123936,6,3,,,,,,,,,,
86639,123937,7,0,,,,,,,,,,
24232,123938,0,5,,,,,,,,,,
61867,123939,3,1,,,,,,,,,,
28298,123940,2,4,,,,,,,,,,
20145,123941,1,6,,,,,,,,,,
86155,123942,3,6,,,,,,,,,,
63885,123943,5,3,,,,,,,,,,
50725,123944,5,3,,,,,,,,,,
54797,123945,5,1,,,,,,,,,,
21724,123946,4,3,,,,,,,,,,
97469,123947,5,1,,,,,,,,,,
17711,123948,7,1,,,,,,,,,,
38204,123949,4,5,,,,,,,,,,
86921,123950,1,2,,,,,,,,,,
76848,123951,0,2,,,,,,,,,,
25906,123952,2,6,,,,,,,,,,
30244,123953,4,4,,,,,,,,,,
79272,123954,0,4,,,,,,,,,,
78244,123955,4,5,,,,,,,,,,
23646,123956,6,0,,,,,,,,,,
30982,123957,6,0,,,,,,,,,,
56956,123958,4,4,,,,,,,,,,
25147,123959,3,3,,,,,,,,,,
74709,123960,5,5,,,,,,,,,,
13063,123961,7,1,,,,,,,,,,
68519,123962,7,3,,,,,,,,,,
23826,123963,2,5,,,,,,,,,,
51072,123964,0,0,,,,,,,,,,
93229,123965,5,3,,,,,,,,,,
72299,123966,3,3,,,,,,,,,,
56104,123967,0,6,,,,,,,,,,
67482,123968,2,2,,,,,,,,,,
75643,123969,3,1,,,,,,,,,,
91122,123970,2,3,,,,,,,,,,
94862,123971,6,5,,,,,,,,,,
41101,123972,5,4,,,,,,,,,,
16703,123973,7,1,,,,,,,,,,
56722,123974,2,1,,,,,,,,,,
18575,123975,7,4,,,,,,,,,,
29405,123976,5,5,,,,,,,,,,
63333,123977,5,4,,,,,,,,,,
26814,123978,6,4,,,,,,,,,,
93841,123979,1,6,,,,,,,,,,
66216,123980,0,3,,,,,,,,,,
56029,123981,5,1,,,,,,,,,,
14217,123982,1,0,,,,,,,,,,
36465,123983,1,2,,,,,,,,,,
10819,123984,3,4,,,,,,,,,,
57305,123985,1,3,,,,,,,,,,
84910,123986,6,0,,,,,,,,,,
89959,123987,7,2,,,,,,,,,,
35320,123988,0,5,,,,,,,,,,
15883,123989,3,0,,,,,,,,,,
82983,123990,7,5,,,,,,,,,,
74589,123991,5,4,,,,,,,,,,
32078,123992,6,4,,,,,,,,,,
79253,123993,5,6,,,,,,,,,,
79639,123994,7,0,,,,,,,,,,
46381,123995,5,6,,,,,,,,,,
99516,123996,4,4,,,,,,,,,,
14777,123997,1,0,,,,,,,,,,
70044,123998,4,2,,,,,,,,,,
45216,123999,0,3,,,,,,,,,,
94304,124000,0,0,,,,,,,,,,
83486,124001,6,4,,,,,,,,,,
45410,124002,2,1,,,,,,,,,,
40285,124003,5,0,,,,,,,,,,
30222,124004,6,3,,,,,,,,,,
48503,124005,7,0,,,,,,,,,,
54373,124006,5,4,,,,,,,,,,
55397,124007,5,6,,,,,,,,,,
63512,124008,0,1,,,,,,,,,,
27429,124009,5,3,,,,,,,,,,
80742,124010,6,4,,,,,,,,,,
23177,124011,1,0,,,,,,,,,,
14088,124012,0,4,,,,,,,,,,
82826,124013,2,2,,,,,,,,,,
39508,124014,4,0,,,,,,,,,,
95606,124015,6,0,,,,,,,,,,
22339,124016,3,2,,,,,,,,,,
84405,124017,5,6,,,,,,,,,,
52863,124018,7,6,,,,,,,,,,
71119,124019,7,6,,,,,,,,,,
81350,124020,6,3,,,,,,,,,,
68847,124021,7,2,,,,,,,,,,
19288,124022,0,3,,,,,,,,,,
20082,124023,2,6,,,,,,,,,,
82517,124024,5,1,,,,,,,,,,
25724,124025,4,6,,,,,,,,,,
65111,124026,7,4,,,,,,,,,,
48915,124027,3,6,,,,,,,,,,
53088,124028,0,0,,,,,,,,,,
24990,124029,6,0,,,,,,,,,,
63765,124030,5,2,,,,,,,,,,
57046,124031,6,3,,,,,,,,,,
55885,124032,5,4,,,,,,,,,,
81187,124033,3,1,,,,,,,,,,
29574,124034,6,6,,,,,,,,,,
61223,124035,7,1,,,,,,,,,,
39932,124036,4,4,,,,,,,,,,
95575,124037,7,4,,,,,,,,,,
36460,124038,4,4,,,,,,,,,,
34043,124039,3,2,,,,,,,,,,
57160,124040,0,5,,,,,,,,,,
26561,124041,1,3,,,,,,,,,,
93798,124042,6,5,,,,,,,,,,
51008,124043,0,6,,,,,,,,,,
68957,124044,5,0,,,,,,,,,,
89882,124045,2,2,,,,,,,,,,
98346,124046,2,3,,,,,,,,,,
42075,124047,3,5,,,,,,,,,,
33106,124048,2,3,,,,,,,,,,
12625,124049,1,4,,,,,,,,,,
95420,124050,4,3,,,,,,,,,,
13706,124051,2,0,,,,,,,,,,
79559,124052,7,4,,,,,,,,,,
11344,124053,0,4,,,,,,,,,,
32539,124054,3,3,,,,,,,,,,
97942,124055,6,5,,,,,,,,,,
78700,124056,4,6,,,,,,,,,,
43818,124057,2,5,,,,,,,,,,
59785,124058,1,5,,,,,,,,,,
35998,124059,6,4,,,,,,,,,,
27243,124060,3,6,,,,,,,,,,
74852,124061,4,1,,,,,,,,,,
46242,124062,2,0,,,,,,,,,,
18303,124063,7,5,,,,,,,,,,
32104,124064,0,2,,,,,,,,,,
30988,124065,4,6,,,,,,,,,,
21753,124066,1,4,,,,,,,,,,
39162,124067,2,4,,,,,,,,,,
33724,124068,4,5,,,,,,,,,,
77370,124069,2,6,,,,,,,,,,
60183,124070,7,4,,,,,,,,,,
24473,124071,1,1,,,,,,,,,,
45607,124072,7,2,,,,,,,,,,
22296,124073,0,1,,,,,,,,,,
90139,124074,3,0,,,,,,,,,,
59879,124075,7,1,,,,,,,,,,
60093,124076,5,5,,,,,,,,,,
81571,124077,3,0,,,,,,,,,,
63152,124078,0,5,,,,,,,,,,
28218,124079,2,1,,,,,,,,,,
77540,124080,4,1,,,,,,,,,,
90262,124081,6,4,,,,,,,,,,
39120,124082,0,4,,,,,,,,,,
91975,124083,7,2,,,,,,,,,,
61063,124084,7,2,,,,,,,,,,
30716,124085,4,0,,,,,,,,,,
28734,124086,6,6,,,,,,,,,,
61868,124087,4,2,,,,,,,,,,
68707,124088,3,2,,,,,,,,,,
65347,124089,3,2,,,,,,,,,,
27231,124090,7,1,,,,,,,,,,
88693,124091,5,3,,,,,,,,,,
10845,124092,5,2,,,,,,,,,,
40917,124093,5,2,,,,,,,,,,
81106,124094,2,4,,,,,,,,,,
54508,124095,4,6,,,,,,,,,,
53303,124096,7,5,,,,,,,,,,
18194,124097,2,1,,,,,,,,,,
13485,124098,5,3,,,,,,,,,,
21082,124099,2,5,,,,,,,,,,
95607,124100,7,1,,,,,,,,,,
17779,124101,3,6,,,,,,,,,,
30529,124102,1,2,,,,,,,,,,
17429,124103,5,6,,,,,,,,,,
41946,124104,2,2,,,,,,,,,,
70522,124105,2,4,,,,,,,,,,
65073,124106,1,1,,,,,,,,,,
34614,124107,6,6,,,,,,,,,,
16464,124108,0,0,,,,,,,,,,
11385,124109,1,3,,,,,,,,,,
35114,124110,2,2,,,,,,,,,,
68621,124111,5,0,,,,,,,,,,
52489,124112,1,3,,,,,,,,,,
42464,124113,0,2,,,,,,,,,,
33790,124114,6,1,,,,,,,,,,
44162,124115,2,6,,,,,,,,,,
33827,124116,3,3,,,,,,,,,,
64545,124117,1,5,,,,,,,,,,
29044,124118,4,1,,,,,,,,,,
31974,124119,6,5,,,,,,,,,,
62672,124120,0,1,,,,,,,,,,
27345,124121,1,3,,,,,,,,,,
33346,124122,2,5,,,,,,,,,,
70038,124123,6,3,,,,,,,,,,
15364,124124,4,6,,,,,,,,,,
21060,124125,4,4,,,,,,,,,,
11036,124126,4,4,,,,,,,,,,
37856,124127,0,0,,,,,,,,,,
96523,124128,3,0,,,,,,,,,,
44798,124129,6,5,,,,,,,,,,
73412,124130,4,3,,,,,,,,,,
71855,124131,7,0,,,,,,,,,,
66125,124132,5,3,,,,,,,,,,
27841,124133,1,2,,,,,,,,,,
71082,124134,2,4,,,,,,,,,,
51083,124135,3,4,,,,,,,,,,
64544,124136,0,4,,,,,,,,,,
99390,124137,6,4,,,,,,,,,,
73356,124138,4,3,,,,,,,,,,
59033,124139,1,2,,,,,,,,,,
49925,124140,5,1,,,,,,,,,,
63812,124141,4,0,,,,,,,,,,
46538,124142,2,2,,,,,,,,,,
