NRIC,PLATE,mod 7,mod 8,,,,,,,,,
2900040,352291,3,0,,,,,,,,,
3378668,2353681,6,4,,,,,,,,,
680244,1982409,5,4,,,,,,,,,
4787828,6756311,3,4,,,,,,,,,
1737164,3263730,2,4,,,,,,,,,
5011352,6046666,3,0,,,,,,,,,
8011896,2532984,4,0,,,,,,,,,
4870008,9349742,3,0,,,,,,,,,
6956296,775694,4,0,,,,,,,,,
5784384,7856756,4,0,,,,,,,,,
469096,2035583,5,0,,,,,,,,,
1131424,8951941,0,0,,,,,,,,,
7686504,8264003,0,0,,,,,,,,,
5761604,3188187,2,4,,,,,,,,,
1487436,9440035,6,4,,,,,,,,,
958628,1273750,6,4,,,,,,,,,
9508064,7128413,6,0,,,,,,,,,
8411788,8177420,0,4,,,,,,,,,
4337848,461557,4,0,,,,,,,,,
4952752,4271665,0,0,,,,,,,,,
6520988,3264391,5,4,,,,,,,,,
8264640,8560214,6,0,,,,,,,,,
7630368,4811321,4,0,,,,,,,,,
3806076,3131431,1,4,,,,,,,,,
445276,9819988,6,4,,,,,,,,,
4980668,1480744,0,4,,,,,,,,,
263472,1151408,6,0,,,,,,,,,
266072,2494403,2,0,,,,,,,,,
3753836,1661843,2,4,,,,,,,,,
8394024,6541522,2,0,,,,,,,,,
9755108,1187352,6,4,,,,,,,,,
9523596,6880613,5,4,,,,,,,,,
7740684,3940404,0,4,,,,,,,,,
7818100,6616484,3,4,,,,,,,,,
7508420,3114048,3,4,,,,,,,,,
2153328,3248093,2,0,,,,,,,,,
1000068,4202927,6,4,,,,,,,,,
3156776,173229,0,0,,,,,,,,,
3192752,6905231,3,0,,,,,,,,,
7536200,9397564,0,0,,,,,,,,,
5922440,8178148,6,0,,,,,,,,,
9324456,8436963,1,0,,,,,,,,,
9606760,4521578,2,0,,,,,,,,,
1512500,7624553,3,4,,,,,,,,,
5099392,989654,4,0,,,,,,,,,
3815164,9816307,3,4,,,,,,,,,
1492800,7220468,1,0,,,,,,,,,
8910948,2348703,4,4,,,,,,,,,
4517496,9075095,4,0,,,,,,,,,
4920692,2844867,0,4,,,,,,,,,
5977576,3199069,3,0,,,,,,,,,
7364056,575,0,0,,,,,,,,,
6472448,2960604,3,0,,,,,,,,,
2701904,1632996,2,0,,,,,,,,,
5205068,8723457,1,4,,,,,,,,,
4045584,2031701,4,0,,,,,,,,,
3301068,1357382,1,4,,,,,,,,,
1353988,2147976,6,4,,,,,,,,,
2125668,6257782,6,4,,,,,,,,,
7068480,2467812,6,0,,,,,,,,,
4697148,5213026,1,4,,,,,,,,,
8001644,7188889,0,4,,,,,,,,,
2397212,1124428,6,4,,,,,,,,,
3957500,1201425,1,4,,,,,,,,,
5434636,1233374,4,4,,,,,,,,,
6066396,8598436,0,4,,,,,,,,,
4350908,4677529,2,4,,,,,,,,,
9755212,6736541,5,4,,,,,,,,,
575336,1370366,6,0,,,,,,,,,
4452588,9728170,0,4,,,,,,,,,
2149532,1066768,0,4,,,,,,,,,
3194036,8085403,6,4,,,,,,,,,
1992132,9977361,2,4,,,,,,,,,
8318400,3000306,6,0,,,,,,,,,
5292672,6014096,0,0,,,,,,,,,
2782748,9600363,3,4,,,,,,,,,
3867436,6799675,6,4,,,,,,,,,
171364,6868364,4,4,,,,,,,,,
2168008,3732965,3,0,,,,,,,,,
8490268,5381135,3,4,,,,,,,,,
6428592,34191,2,0,,,,,,,,,
433800,8964026,3,0,,,,,,,,,
6089988,662146,2,4,,,,,,,,,
6264720,2547612,0,0,,,,,,,,,
3513624,6539115,2,0,,,,,,,,,
6353660,344341,5,4,,,,,,,,,
5996652,6046309,4,4,,,,,,,,,
8894156,8663944,5,4,,,,,,,,,
6423972,9039654,2,4,,,,,,,,,
3307048,4619642,3,0,,,,,,,,,
3458176,1297015,1,0,,,,,,,,,
6144028,9375152,2,4,,,,,,,,,
3665572,8810610,1,4,,,,,,,,,
406400,226323,1,0,,,,,,,,,
6560252,3113588,6,4,,,,,,,,,
4058720,6403640,1,0,,,,,,,,,
9841488,9527082,6,0,,,,,,,,,
1359088,9948514,3,0,,,,,,,,,
1399504,6072582,1,0,,,,,,,,,
1126768,5030431,6,0,,,,,,,,,
8531292,9163550,0,4,,,,,,,,,
3743088,5038626,6,0,,,,,,,,,
2855044,5496196,3,4,,,,,,,,,
5404108,7605558,3,4,,,,,,,,,
1985080,3660197,6,0,,,,,,,,,
2899316,7680565,0,4,,,,,,,,,
5521252,4821989,2,4,,,,,,,,,
1042252,8414377,1,4,,,,,,,,,
2559840,8470332,3,0,,,,,,,,,
6929968,9260477,3,0,,,,,,,,,
382744,1308097,5,0,,,,,,,,,
5292748,3065385,6,4,,,,,,,,,
6099260,4642435,6,4,,,,,,,,,
8444100,9026717,0,4,,,,,,,,,
4212044,7303762,4,4,,,,,,,,,
1074196,9632923,4,4,,,,,,,,,
8226444,8746201,2,4,,,,,,,,,
2631504,6906246,1,0,,,,,,,,,
4707276,3610904,0,4,,,,,,,,,
9007020,5843085,1,4,,,,,,,,,
9200620,6356814,2,4,,,,,,,,,
1947300,5946653,5,4,,,,,,,,,
3202112,1226711,4,0,,,,,,,,,
1263728,4388619,4,0,,,,,,,,,
6651432,1843290,4,0,,,,,,,,,
1651488,514610,6,0,,,,,,,,,
6696048,1892294,2,0,,,,,,,,,
3526136,2777461,5,0,,,,,,,,,
5253032,3416025,1,0,,,,,,,,,
1706908,4247088,0,4,,,,,,,,,
7965564,5350368,5,4,,,,,,,,,
4570052,4245527,4,4,,,,,,,,,
6895348,6619874,5,4,,,,,,,,,
8707224,4838492,1,0,,,,,,,,,
400636,9441440,5,4,,,,,,,,,
1046296,1401524,6,0,,,,,,,,,
2277076,4111473,4,4,,,,,,,,,
6645320,6403678,3,0,,,,,,,,,
8520676,9738783,3,4,,,,,,,,,
4732060,9875338,4,4,,,,,,,,,
1721420,7605044,1,4,,,,,,,,,
5591440,6409688,1,0,,,,,,,,,
5073064,9254268,3,0,,,,,,,,,
5709872,9939639,0,0,,,,,,,,,
2128952,1497262,0,0,,,,,,,,,
6977024,5201993,5,0,,,,,,,,,
4317160,7318298,1,0,,,,,,,,,
3373368,8988094,5,0,,,,,,,,,
2445188,8755149,4,4,,,,,,,,,
1734032,6121896,6,0,,,,,,,,,
7795696,2747795,6,0,,,,,,,,,
2015060,7516644,5,4,,,,,,,,,
7840140,3348782,0,4,,,,,,,,,
8562580,5689452,5,4,,,,,,,,,
9961540,5142531,1,4,,,,,,,,,
4754780,5427379,2,4,,,,,,,,,
3431844,2370361,3,4,,,,,,,,,
21620,5707018,4,4,,,,,,,,,
5030188,8526162,2,4,,,,,,,,,
7800608,5146791,4,0,,,,,,,,,
345276,4299716,1,4,,,,,,,,,
5492432,2870759,1,0,,,,,,,,,
5774412,1896522,0,4,,,,,,,,,
7346660,4612051,6,4,,,,,,,,,
9482080,9756600,6,0,,,,,,,,,
5518020,8727127,4,4,,,,,,,,,
3751668,7775851,4,4,,,,,,,,,
6084620,1141111,3,4,,,,,,,,,
9338084,8111944,0,4,,,,,,,,,
5572972,494809,6,4,,,,,,,,,
83388,8827702,4,4,,,,,,,,,
7392812,8942924,0,4,,,,,,,,,
1474984,394096,0,0,,,,,,,,,
2206128,8669370,1,0,,,,,,,,,
3671160,8298081,3,0,,,,,,,,,
6724336,3986354,3,0,,,,,,,,,
9635024,5334243,0,0,,,,,,,,,
3889948,3913192,6,4,,,,,,,,,
5316780,6512236,0,4,,,,,,,,,
6713396,458295,4,4,,,,,,,,,
6576908,2643688,2,4,,,,,,,,,
4524676,7689211,2,4,,,,,,,,,
8599564,306641,1,4,,,,,,,,,
9092088,239202,5,0,,,,,,,,,
1736020,4335982,6,4,,,,,,,,,
6531292,8095309,5,4,,,,,,,,,
4314588,6263496,5,4,,,,,,,,,
4436728,4840778,2,0,,,,,,,,,
6571792,2423563,3,0,,,,,,,,,
3145196,4965615,5,4,,,,,,,,,
7897448,3874103,6,0,,,,,,,,,
8673540,1461133,1,4,,,,,,,,,
8150384,7956856,4,0,,,,,,,,,
7951592,9344101,5,0,,,,,,,,,
9822128,9331441,1,0,,,,,,,,,
8033732,8259187,0,4,,,,,,,,,
4683100,3546551,2,4,,,,,,,,,
3427012,3864686,1,4,,,,,,,,,
1098624,3705858,2,0,,,,,,,,,
8862472,1520534,3,0,,,,,,,,,
7894340,4225838,6,4,,,,,,,,,
9061448,4289554,4,0,,,,,,,,,
1185124,6021811,3,4,,,,,,,,,
6312704,9501686,6,0,,,,,,,,,
1332140,5390627,5,4,,,,,,,,,
939628,576130,4,4,,,,,,,,,
3539304,6156584,6,0,,,,,,,,,
8983260,7758351,6,4,,,,,,,,,
6964120,1383926,2,0,,,,,,,,,
2292760,2539801,1,0,,,,,,,,,
6802652,9551819,3,4,,,,,,,,,
570636,5035354,3,4,,,,,,,,,
3150776,2553595,6,0,,,,,,,,,
3458048,1892684,6,0,,,,,,,,,
7161192,5933789,3,0,,,,,,,,,
5290312,9707471,6,0,,,,,,,,,
5864908,5182085,0,4,,,,,,,,,
8112432,7243923,6,0,,,,,,,,,
3862464,8184633,4,0,,,,,,,,,
8725424,6540861,1,0,,,,,,,,,
1599804,9814798,3,4,,,,,,,,,
994096,8905062,5,0,,,,,,,,,
5626184,6897645,4,0,,,,,,,,,
2645968,7727796,3,0,,,,,,,,,
1451140,7144365,5,4,,,,,,,,,
6427644,6302125,6,4,,,,,,,,,
4948328,7263619,0,0,,,,,,,,,
8234580,6022352,4,4,,,,,,,,,
8788328,5271810,3,0,,,,,,,,,
172104,7734356,2,0,,,,,,,,,
7253632,2856722,1,0,,,,,,,,,
3583988,5971362,2,4,,,,,,,,,
22360,1081285,2,0,,,,,,,,,
9432300,2491471,3,4,,,,,,,,,
6791312,866679,3,0,,,,,,,,,
8998148,1868607,5,4,,,,,,,,,
9900588,7690562,5,4,,,,,,,,,
5739632,6281683,3,0,,,,,,,,,
2787456,8802279,0,0,,,,,,,,,
1743540,4935120,1,4,,,,,,,,,
1032348,4435676,2,4,,,,,,,,,
8195024,9074662,5,0,,,,,,,,,
6747104,4825889,0,0,,,,,,,,,
6510284,2244307,4,4,,,,,,,,,
5875116,9914301,2,4,,,,,,,,,
3041708,8559152,5,4,,,,,,,,,
6557720,6038063,1,0,,,,,,,,,
3416328,2721125,6,0,,,,,,,,,
2449372,7666682,2,4,,,,,,,,,
8937564,9055827,6,4,,,,,,,,,
4088332,1156008,3,4,,,,,,,,,
5967920,4725139,0,0,,,,,,,,,
5991348,1443392,6,4,,,,,,,,,
3382352,4104339,1,0,,,,,,,,,
2703580,9591808,5,4,,,,,,,,,
9763024,9412661,5,0,,,,,,,,,
87208,1639802,2,0,,,,,,,,,
5638112,8314014,4,0,,,,,,,,,
4232652,675158,4,4,,,,,,,,,
7821452,9686628,2,4,,,,,,,,,
5000556,1997776,1,4,,,,,,,,,
9943516,8382297,2,4,,,,,,,,,
684408,4583706,4,0,,,,,,,,,
5495644,1784481,0,4,,,,,,,,,
2644648,1992958,6,0,,,,,,,,,
1441832,6648186,0,0,,,,,,,,,
4979640,1338408,1,0,,,,,,,,,
761776,5537475,1,0,,,,,,,,,
8309756,7587109,0,4,,,,,,,,,
4548132,2314993,1,4,,,,,,,,,
3211952,6782973,2,0,,,,,,,,,
1814884,705231,1,4,,,,,,,,,
5964444,5623893,3,4,,,,,,,,,
7427328,9289411,6,0,,,,,,,,,
4744388,7571012,5,4,,,,,,,,,
8334372,3978518,4,4,,,,,,,,,
4637700,6580086,4,4,,,,,,,,,
5779552,6903646,2,0,,,,,,,,,
7386200,1166190,3,0,,,,,,,,,
1671296,6572173,4,0,,,,,,,,,
9714040,2216290,0,0,,,,,,,,,
2595760,4065073,6,0,,,,,,,,,
9213956,4633000,3,4,,,,,,,,,
8667956,442338,3,4,,,,,,,,,
4630596,7854490,5,4,,,,,,,,,
82704,8334313,6,0,,,,,,,,,
612548,3287582,6,4,,,,,,,,,
2373028,3126151,0,4,,,,,,,,,
7314956,6641275,5,4,,,,,,,,,
9287464,6796857,4,0,,,,,,,,,
2940252,5662826,0,4,,,,,,,,,
9289104,5482151,6,0,,,,,,,,,
4047480,8969908,3,0,,,,,,,,,
3160420,2502451,4,4,,,,,,,,,
87112,6098622,4,0,,,,,,,,,
6438712,5955176,0,0,,,,,,,,,
8651952,1549798,1,0,,,,,,,,,
475836,9921135,4,4,,,,,,,,,
764740,2433314,4,4,,,,,,,,,
5795956,5075556,5,4,,,,,,,,,
4400780,8722092,6,4,,,,,,,,,
2923720,844988,2,0,,,,,,,,,
4001332,3205608,6,4,,,,,,,,,
4025328,4092899,6,0,,,,,,,,,
4736728,8169265,3,0,,,,,,,,,
8180556,6934097,6,4,,,,,,,,,
8308272,8047846,0,0,,,,,,,,,
3358976,6484170,5,0,,,,,,,,,
2076752,7333412,6,0,,,,,,,,,
8940360,9400433,2,0,,,,,,,,,
8697076,6331156,3,4,,,,,,,,,
1324584,8942246,2,0,,,,,,,,,
2867608,6869350,2,0,,,,,,,,,
7253164,3862495,2,4,,,,,,,,,
5134780,3131733,0,4,,,,,,,,,
2219216,1355629,6,0,,,,,,,,,
8089256,2887453,0,0,,,,,,,,,
6243416,7964946,4,0,,,,,,,,,
4137812,6924346,0,4,,,,,,,,,
6626020,3941963,2,4,,,,,,,,,
2405340,3159450,0,4,,,,,,,,,
3973416,8044476,6,0,,,,,,,,,
3318060,2589242,4,4,,,,,,,,,
2352756,3748956,0,4,,,,,,,,,
4141984,2400705,0,0,,,,,,,,,
8182900,3372493,5,4,,,,,,,,,
744160,5300043,4,0,,,,,,,,,
3790756,898675,4,4,,,,,,,,,
2228964,6539553,3,4,,,,,,,,,
4632060,5306329,6,4,,,,,,,,,
2028172,4391446,6,4,,,,,,,,,
4326932,2690992,1,4,,,,,,,,,
9893292,654899,3,4,,,,,,,,,
8374752,6693267,1,0,,,,,,,,,
6612776,5714502,2,0,,,,,,,,,
116800,5108134,5,0,,,,,,,,,
9629680,7149603,4,0,,,,,,,,,
5422004,6332769,0,4,,,,,,,,,
5488656,7996589,5,0,,,,,,,,,
4532180,3687185,2,4,,,,,,,,,
1428644,454950,0,4,,,,,,,,,
4245188,5766007,3,4,,,,,,,,,
596000,1353662,6,0,,,,,,,,,
2855564,985630,5,4,,,,,,,,,
7143356,4071885,3,4,,,,,,,,,
590820,8591701,6,4,,,,,,,,,
939420,7642063,6,4,,,,,,,,,
5979464,1795069,1,0,,,,,,,,,
8825880,6522682,0,0,,,,,,,,,
7007056,5284731,0,0,,,,,,,,,
8230812,8426157,2,4,,,,,,,,,
7523488,6551087,0,0,,,,,,,,,
2982248,6647425,3,0,,,,,,,,,
82996,6610592,4,4,,,,,,,,,
6718156,8051967,4,4,,,,,,,,,
1574268,7074674,3,4,,,,,,,,,
7107096,1963904,3,0,,,,,,,,,
7520412,9477928,4,4,,,,,,,,,
2792624,2939921,2,0,,,,,,,,,
2164728,16423,6,0,,,,,,,,,
6230268,561230,2,4,,,,,,,,,
1911928,9654913,4,0,,,,,,,,,
3511536,8782818,0,0,,,,,,,,,
8891516,8210760,4,4,,,,,,,,,
7536652,15954,4,4,,,,,,,,,
6971944,2604765,0,0,,,,,,,,,
2794668,3190629,2,4,,,,,,,,,
2621220,8189319,0,4,,,,,,,,,
9296500,4885392,3,4,,,,,,,,,
2874748,5281164,2,4,,,,,,,,,
4961532,5509612,2,4,,,,,,,,,
7378700,2278129,0,4,,,,,,,,,
3605232,1096272,1,0,,,,,,,,,
7567892,2932061,3,4,,,,,,,,,
1060064,4138629,5,0,,,,,,,,,
6589396,7426981,2,4,,,,,,,,,
9878580,9857670,5,4,,,,,,,,,
80516,6932193,2,4,,,,,,,,,
4472380,9070907,3,4,,,,,,,,,
1225576,3039464,2,0,,,,,,,,,
4737232,2023903,3,0,,,,,,,,,
3811388,4076849,0,4,,,,,,,,,
1906584,4976819,1,0,,,,,,,,,
7410800,6615305,5,0,,,,,,,,,
9393392,9036477,1,0,,,,,,,,,
2613680,3023246,6,0,,,,,,,,,
3541808,5080353,4,0,,,,,,,,,
4206816,4362159,5,0,,,,,,,,,
3724564,992029,4,4,,,,,,,,,
4188460,8549415,3,4,,,,,,,,,
7859508,9272321,6,4,,,,,,,,,
4332424,6330176,5,0,,,,,,,,,
7113112,8996434,6,0,,,,,,,,,
1122428,5103468,6,4,,,,,,,,,
3462080,2709124,6,0,,,,,,,,,
2055008,8091149,4,0,,,,,,,,,
3228760,9853074,3,0,,,,,,,,,
4846248,3707882,1,0,,,,,,,,,
9897024,6230959,4,0,,,,,,,,,
6633272,2190677,2,0,,,,,,,,,
8912788,2217107,3,4,,,,,,,,,
6271960,5749159,2,0,,,,,,,,,
3405672,8801107,4,0,,,,,,,,,
3248980,5876721,0,4,,,,,,,,,
7264116,366035,6,4,,,,,,,,,
5749656,7522168,3,0,,,,,,,,,
8108124,5501271,3,4,,,,,,,,,
9718744,6716216,0,0,,,,,,,,,
3263880,3151466,4,0,,,,,,,,,
8374216,374702,4,0,,,,,,,,,
7724496,8236684,3,0,,,,,,,,,
6820148,1472137,6,4,,,,,,,,,
7309400,4258065,0,0,,,,,,,,,
2463440,5817638,0,0,,,,,,,,,
7778620,4645779,3,4,,,,,,,,,
4295416,3861931,6,0,,,,,,,,,
7474352,7642876,4,0,,,,,,,,,
716224,9328291,5,0,,,,,,,,,
7885640,5712564,0,0,,,,,,,,,
2381740,5582792,4,4,,,,,,,,,
900928,7951529,0,0,,,,,,,,,
3590628,7749193,6,4,,,,,,,,,
8320056,5874981,3,0,,,,,,,,,
3787204,9100038,1,4,,,,,,,,,
4213384,418867,0,0,,,,,,,,,
151624,5327885,4,0,,,,,,,,,
8095180,7779873,2,4,,,,,,,,,
7510992,3301326,6,0,,,,,,,,,
9289280,3274706,0,0,,,,,,,,,
5029244,628289,3,4,,,,,,,,,
1787500,9321325,1,4,,,,,,,,,
5809716,2772806,3,4,,,,,,,,,
3603980,7986034,2,4,,,,,,,,,
62996,5773797,3,4,,,,,,,,,
5396448,216734,1,0,,,,,,,,,
2412232,7325865,4,0,,,,,,,,,
1399860,642719,0,4,,,,,,,,,
5359004,8144575,0,4,,,,,,,,,
7374472,7042390,0,0,,,,,,,,,
1115380,6156932,0,4,,,,,,,,,
2578944,4426318,4,0,,,,,,,,,
3324920,4371883,4,0,,,,,,,,,
4615792,9178976,6,0,,,,,,,,,
1853812,7283154,2,4,,,,,,,,,
6840840,9525987,6,0,,,,,,,,,
4639980,8636257,2,4,,,,,,,,,
671632,6060408,3,0,,,,,,,,,
8477796,5408377,5,4,,,,,,,,,
22436,2173063,1,4,,,,,,,,,
9811136,525562,6,0,,,,,,,,,
5882796,7180972,3,4,,,,,,,,,
2892892,616938,2,4,,,,,,,,,
3639704,5246936,5,0,,,,,,,,,
7606448,2477515,3,0,,,,,,,,,
2730536,7816540,4,0,,,,,,,,,
285168,8992650,2,0,,,,,,,,,
3155764,3430960,3,4,,,,,,,,,
4463356,7561106,2,4,,,,,,,,,
4532656,42325,2,0,,,,,,,,,
3143380,9641154,2,4,,,,,,,,,
7258412,5330349,0,4,,,,,,,,,
5580000,8141821,6,0,,,,,,,,,
8999736,5982622,4,0,,,,,,,,,
6596160,6515061,4,0,,,,,,,,,
2933076,3815274,6,4,,,,,,,,,
5252972,4046009,4,4,,,,,,,,,
5719120,8399790,1,0,,,,,,,,,
6770112,7216441,6,0,,,,,,,,,
2469412,8583037,1,4,,,,,,,,,
2195916,1699537,2,4,,,,,,,,,
2131756,5656799,4,4,,,,,,,,,
2034224,4476720,3,0,,,,,,,,,
1863400,8742842,0,0,,,,,,,,,
9432940,9515440,6,4,,,,,,,,,
1450060,4654366,3,4,,,,,,,,,
8067220,6275899,0,4,,,,,,,,,
8672248,2830614,4,0,,,,,,,,,
9207656,4801263,3,0,,,,,,,,,
7596880,7101170,4,0,,,,,,,,,
393392,1172223,6,0,,,,,,,,,
9654840,7166524,6,0,,,,,,,,,
315080,8261308,3,0,,,,,,,,,
9189096,3912908,0,0,,,,,,,,,
8186056,3202311,4,0,,,,,,,,,
4644616,9317914,4,0,,,,,,,,,
9142772,7337475,2,4,,,,,,,,,
4922348,9270880,4,4,,,,,,,,,
2182012,3204544,0,4,,,,,,,,,
2430728,2309967,6,0,,,,,,,,,
6550388,9086848,5,4,,,,,,,,,
2286972,5957168,2,4,,,,,,,,,
